,Frequencies (MHz),,,,,,,
Vcon (V),0,2,4,6,8,10,12,14
Harmonics,,,,,,,,
1,517,654,738,852,928,989,1034,1065
2,1050,1308,1476,1704,1856,1978,2069,2130
3,1567,1963,2206,2556,2784,1967,3104,3195
4,2100,2617,2952,3408,3713,3971,4139,NaN
5,2617,3271,3682,4260,4641,NaN,NaN,NaN
6,3150,3910,NaN,NaN,NaN,NaN,NaN,NaN
7,3667,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,
,,,,,,,,
,Amplitude (dBm),,,,,,,
Vcon (V),0,2,4,6,8,10,12,14
Harmonics,,,,,,,,
1,3.15,8.87,8.51,8.30,8.22,8.07,7.35,7.33
2,-32.08,-18.52,-15.68,-16.2,-16.93,-18.52,-21.47,-24.37
3,-15.92,-26.6,-24.93,-24.97,-27.51,-26.35,-30.32,-32.7
4,-28.42,-25.29,-28.71,-35.77,-39.97,-35.51,-42.58,NaN
5,-30.01,-38.22,-47.14,-42.22,-41.05,NaN,NaN,NaN
6,-42.51,-32.45,NaN,NaN,NaN,NaN,NaN,NaN
7,-43.54,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,
,,,,,,,,
,Amplitude (mV),,,,,,,
Vcon (V),0,2,4,6,8,10,12,14
Harmonics,,,,,,,,
1,262,348,342,339,337,335,323,323
2,44.97,88.58,102.1,99.47,95.91,88.58,76.43,66.11
3,100.9,59.14,64.29,64.16,56.51,59.88,49.10,43.59
4,53.99,63.14,53.22,37.39,30.31,37.88,26.60,NaN
5,49.87,33.08,21.18,27.08,28.71,NaN,NaN,NaN
6,26.69,44.14,NaN,NaN,NaN,NaN,NaN,NaN
7,25.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,
,,,,,,,,
All measured using PSU at 12V,,,,,,,,
